Age,Gender,Height,Weight,CALC,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,CAEC,MTRANS,NObeyesdad,BMI
21.0,0,1.62,64.0,3,0,2.0,3.0,0,0,2.0,1,0.0,1.0,2,3,1,24.38652644413961
21.0,0,1.52,56.0,2,0,3.0,3.0,1,1,3.0,1,3.0,0.0,2,3,1,24.238227146814403
23.0,1,1.8,77.0,1,0,2.0,3.0,0,0,2.0,1,2.0,1.0,2,3,1,23.76543209876543
27.0,1,1.8,87.0,1,0,3.0,3.0,0,0,2.0,0,2.0,0.0,2,4,5,26.85185185185185
22.0,1,1.78,89.8,2,0,2.0,1.0,0,0,2.0,0,0.0,0.0,2,3,6,28.34238101249842
29.0,1,1.62,53.0,2,1,2.0,3.0,0,0,2.0,0,0.0,0.0,2,0,1,20.195092211553114
23.0,0,1.5,55.0,2,1,3.0,3.0,0,0,2.0,1,1.0,0.0,2,2,1,24.444444444444443
22.0,1,1.64,53.0,2,0,2.0,3.0,0,0,2.0,0,3.0,0.0,2,3,1,19.705532421177875
24.0,1,1.78,64.0,1,1,3.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,20.199469763918696
22.0,1,1.72,68.0,3,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,22.985397512168742
26.0,1,1.85,105.0,2,1,3.0,3.0,0,0,3.0,1,2.0,2.0,1,3,2,30.67932797662527
21.0,0,1.72,80.0,2,1,2.0,3.0,1,0,2.0,1,2.0,1.0,1,3,6,27.041644131963228
22.0,1,1.65,56.0,2,0,3.0,3.0,0,0,3.0,0,2.0,0.0,2,3,1,20.569329660238754
23.0,1,1.77,60.0,2,1,3.0,1.0,0,0,1.0,1,1.0,1.0,2,3,1,19.15158479364167
22.0,0,1.7,66.0,2,0,3.0,3.0,1,0,2.0,1,2.0,1.0,0,3,1,22.837370242214536
